name,localname,sPrice,bPrice,quantity,stock
Jasmine,जास्मिन,45,20,500,150
Hibiscus,जावा,38,15,500,150
Sunflower,सूर्यफूल,52,25,500,150
Lotus,कमळ,85,35,500,150
Dahlia,डहेलिया,48,22,500,150
Petunia,पेटुनिया,42,18,500,150
Geranium,जेरेनियम,55,28,500,150
Chrysanthemum,शेवंती,40,16,500,150
Carnation,कार्नेशन,65,30,500,150
Begonia,बेगोनिया,50,24,500,150
Money Plant,मनी प्लांट,35,12,500,150
Snake Plant,सर्प वनस्पती,58,26,500,150
Rubber Plant,रबर प्लांट,62,28,500,150
Peace Lily,पीस लिली,75,32,500,150
Pothos,पोथोस,32,14,500,150
Philodendron,फिलोडेंड्रन,68,30,500,150
Fern,फर्न,45,20,500,150
Aloe Vera,कोरफड,40,18,500,150
Spider Plant,स्पायडर प्लांट,38,16,500,150
Lavender,लैवेंडर,55,25,500,150
Mint,पुदीना,25,10,500,150
Basil,तुळस,30,12,500,150
Curry Leaf,कढीपत्ता,35,15,500,150
Coriander,धनिया,28,11,500,150
Fenugreek,मेथी,32,13,500,150
Oregano,ऑरेगॅनो,45,20,500,150
Thyme,थाइम,48,22,500,150
Rosemary,रोझमेरी,52,24,500,150
Sage,सेज,50,23,500,150
Parsley,अजमोदा,35,16,500,150
Bamboo,बांबू,60,28,500,150
Palm,पाम,70,32,500,150
Cactus,कॅक्टस,45,18,500,150
Succulent,सक्युलंट,40,17,500,150
Jade Plant,जेड प्लांट,48,21,500,150
Croton,क्रोटन,55,25,500,150
Dracaena,ड्रॅसीना,65,29,500,150
Fiddle Leaf Fig,फिडल लीफ फिग,85,38,500,150
Monstera,मॉन्स्टेरा,75,35,500,150
ZZ Plant,ZZ प्लांट,58,26,500,150
